ID	TypeofSample	Genotype	Environment	Forward	Reverse
AN22	Anemone	AIMS1	Sterile	Fwd02	Rev07
AN45	Anemone	AIMS1	Sterile	Fwd03	Rev09
AN58	Anemone	AIMS1	Sterile	Fwd04	Rev11
AN66	Anemone	AIMS1	Sterile	Fwd05	Rev06
AN67	Anemone	AIMS1	Sterile	Fwd05	Rev07
AN73	Anemone	AIMS1	Control	Fwd06	Rev01
AN74	Anemone	AIMS1	Control	Fwd06	Rev02
AN76	Anemone	AIMS1	Control	Fwd06	Rev04
AN77	Anemone	AIMS1	Control	Fwd06	Rev05
AN78	Anemone	AIMS1	Control	Fwd06	Rev06
AN10	Anemone	AIMS4	Sterile	Fwd01	Rev11
AN27	Anemone	AIMS4	Sterile	Fwd02	Rev13
AN40	Anemone	AIMS4	Sterile	Fwd03	Rev04
AN48	Anemone	AIMS4	Sterile	Fwd03	Rev13
AN70	Anemone	AIMS4	Sterile	Fwd05	Rev11
AN91	Anemone	AIMS4	Control	Fwd07	Rev07
AN92	Anemone	AIMS4	Control	Fwd07	Rev08
AN93	Anemone	AIMS4	Control	Fwd07	Rev09
AN94	Anemone	AIMS4	Control	Fwd07	Rev11
AN95	Anemone	AIMS4	Control	Fwd07	Rev12
CTRLA	Control	NA	NA	Fwd04	Rev25
CTRLB	Control	NA	NA	Fwd04	Rev27
CTRLC	Control	NA	NA	Fwd04	Rev28
